num,pubName,stripped,address,pubID
0,"The George Inn, Easton, Portland",george inn,"The George Inn, 133  Reforne, Portland, DT5 2AP",10001
1,"Half Moon Inn, Shaftesbury Town, Shaftesbury",half moon inn,"Half Moon Inn, Salisbury Road, Shaftesbury, SP7 8BS",10018
2,"The Kings Arms, Shaftesbury Town, Shaftesbury",kings arms,"The Kings Arms, Bleke Street, Shaftesbury, SP7 8JZ",10019
3,"Ship Inn, Shaftesbury Town, Shaftesbury",ship inn,"Ship Inn, Bleke Street, Shaftesbury, SP7 8JZ",10023
4,"The Prince of Wales, Bedford",prince of wales,"The Prince of Wales, 24  Bedford Street, Ampthill, MK45 2NB",1003
5,"The George Hotel, Sherborne Town, Sherborne",george hotel,"The George Hotel, Higher Cheap Street, Sherborne, DT9 3JD",10033
6,"The Kings Arms, Sherborne",kings arms,"The Kings Arms, Pound Road, Thornford, DT9 6QD",10036
7,"The Rose & Crown, Sherborne",rose & crown,"The Rose & Crown, Church Road, Bradford Abbas, DT9 6RF",10041
8,"The White Hart, Sherborne",white hart,"The White Hart, 1  High Street, Yetminster, DT9 6LF",10046
9,"The White Hart, Sherborne Town, Sherborne",white hart,"The White Hart, Cheap Street, Sherborne, DT9 3PX",10047
10,"Crown Hotel, Sturminster Newton",crown hotel,"Crown Hotel, Crown Road, Marnhull, DT10 1LN",10050
11,"The Swan Hotel, Sturminster Newton",swan hotel,"The Swan Hotel, High Street, Stalbridge, DT10 2LL",10054
12,"The Swan Inn, Sturminster Newton Town, Sturminster Newton",swan inn,"The Swan Inn, Market Place, Sturminster Newton, DT10 1AR",10055
13,"The Anchor Inn, Swanage Central, Swanage",anchor inn,"The Anchor Inn, High Street, Swanage, BH19 2NU",10056
14,"The Queens Head, Bedford",queens head,"The Queens Head, 20 Woburn Street, Ampthill, MK45 2HP",1006
15,"The Red Lion, Bedford",red lion,"The Red Lion, High Street, Elstow, MK42 9XP",1007
16,"The Globe Inn, Swanage West, Swanage",globe inn,"The Globe Inn, 3  Bell Street, Swanage, BH19 2RY",10073
17,"The Kings Arms, Swanage",kings arms,"The Kings Arms, 27  High Street, Langton Matravers, BH19 3HA",10078
18,"The Red Lion, Swanage Central, Swanage",red lion,"The Red Lion, 63  High Street, Swanage, BH19 2LY",10085
19,"The Royal Oak, Swanage West, Swanage",royal oak,"The Royal Oak, 417  High Street, Swanage, BH19 2NR",10086
20,"White Horse Inn, Swanage Central, Swanage",white horse inn,"White Horse Inn, High Street, Swanage, BH19 2LP",10094
21,"The White Swan, Swanage Central, Swanage",white swan,"The White Swan, The Square, Swanage, BH19 2LJ",10095
22,"The Albion Inn, Verwood Town, Verwood",albion inn,"The Albion Inn, Henbury Station Road, Verwood, BH31 7LB",10096
23,"The Castle Inn, Wareham",castle inn,"The Castle Inn, 63  East Street, Corfe Castle, BH20 5EE",10105
24,"Duke Of Wellington, Wareham Town, Wareham",duke of wellington,"Duke Of Wellington, East Street, Wareham, BH20 4NN",10108
25,"The Fox Inn, Wareham",fox inn,"The Fox Inn, 8  West Street, Corfe Castle, BH20 5HD",10109
26,"The Greyhound Inn, Wareham",greyhound inn,"The Greyhound Inn, The Square, Corfe Castle, BH20 5EZ",10111
27,"The Horse & Groom, Wareham Town, Wareham",horse & groom,"The Horse & Groom, St. Johns Hill, Wareham, BH20 4LZ",10113
28,"The Kings Arms, Wareham",kings arms,"The Kings Arms, 3  Corfe Road, Stoborough, BH20 5AB",10114
29,"The Kings Arms, Wareham Town, Wareham",kings arms,"The Kings Arms, 41  North Street, Wareham, BH20 4AD",10115
30,"Royal Oak Hotel, Wareham",royal oak hotel,"Royal Oak Hotel, West Street, Bere Regis, BH20 7HQ",10122
31,"The Ship Inn, Wareham",ship inn,"The Ship Inn, Dorchester Road, Wool, BH20 6EQ",10125
32,"The Black Dog, Weymouth Central, Weymouth",black dog,"The Black Dog, 3 St Mary Street, Weymouth, DT4 8PB",10139
33,"The Rose & Crown, Bedford",rose & crown,"The Rose & Crown, 89  High Street, Ridgmont, MK43 0TY",1014
34,"The Bridge Inn, Weymouth",bridge inn,"The Bridge Inn, Bridge Inn Lane, Preston, DT3 6DB",10142
35,"Crown Hotel, Weymouth Central, Weymouth",crown hotel,"Crown Hotel, St. Thomas Street, Weymouth, DT4 8EQ",10152
36,"The Red Lion, Chapelhay, Weymouth",red lion,"The Red Lion, 33  Hope Street, Weymouth, DT4 8TU",10157
37,"The Royal George, Bedford",royal george,"The Royal George, 8  Silver Street, Stevington, MK43 7QP",1016
38,"The Royal Oak, Bedford",royal oak,"The Royal Oak, Woburn Road, Kempston, MK42 7QR",1017
39,"The George Inn, Weymouth Central, Weymouth",george inn,"The George Inn, Custom House Quay, Weymouth, DT4 8BE",10170
40,"The Globe Inn, Weymouth Central, Weymouth",globe inn,"The Globe Inn, 24  East Street, Weymouth, DT4 8BN",10172
41,"The Golden Lion, Weymouth Central, Weymouth",golden lion,"The Golden Lion, 19  St. Edmund Street, Weymouth, DT4 8AR",10173
42,"The Kings Arms, Weymouth",kings arms,"The Kings Arms, Front Street, Portesham, DT3 4ET",10188
43,"The Kings Arms, Chapelhay, Weymouth",kings arms,"The Kings Arms, 16  Trinity Road, Weymouth, DT4 8TJ",10189
44,"The Old Ship Inn, Weymouth",ship inn,"The Old Ship Inn, 7  The Ridgeway, Upwey, DT3 5QQ",10213
45,"The Royal Oak, Melcome Regis, Weymouth",royal oak,"The Royal Oak, 52  Dorchester Road, Weymouth, DT4 7JZ",10227
46,"The Royal Oak, Weymouth Central, Weymouth",royal oak,"The Royal Oak, 1  Custom House Quay, Weymouth, DT4 8BE",10228
47,"The Royal Standard, Weymouth",royal standard,"The Royal Standard, 700  Dorchester Road, Upwey, DT3 5LA",10229
48,"The Ship Inn, Weymouth Central, Weymouth",ship inn,"The Ship Inn, Custom House Quay, Weymouth, DT4 8BE",10233
49,"The Ship Inn, Bedford Central, Bedford",ship inn,"The Ship Inn, 102  Bromham Road, Bedford, MK40 2QH",1026
50,"Victoria Inn, Weymouth",victoria inn,"Victoria Inn, Knights In The Bottom, Chickerell, DT3 4EA",10260
51,"The Coach & Horses, Wimborne Town, Wimborne",coach & horses,"The Coach & Horses, Poole Road, Wimborne, BH21 1QB",10279
52,"Fox & Hounds, Wimborne",fox & hounds,"Fox & Hounds, Fox Lane, Stapehill, BH21 2EQ",10286
53,"The Green Man, Wimborne Town, Wimborne",green man,"The Green Man, 1  Victoria Road, Wimborne, BH21 1EN",10287
54,"Kings Head, Wimborne Town, Wimborne",kings head,"Kings Head, The Square, Wimborne, BH21 1JA",10290
55,"Red Lion, Wimborne",red lion,"Red Lion, Church Street, Sturminster Marshall, BH21 4BU",10296
56,"Vine Inn, Wimborne",vine inn,"Vine Inn, Vine Cottage, Pamphill, BH21 4EE",10301
57,"The White Hart, Wimborne Town, Wimborne",white hart,"The White Hart, 6  Corn Market, Wimborne, BH21 1JL",10302
58,"The Black Horse Inn, Battle",black horse inn,"The Black Horse Inn, Hastings Road, Telham, TN33 0SH",10308
59,"The Kings Arms, Battle",kings arms,"The Kings Arms, Bexhill Road, Ninfield, TN33 9JB",10314
60,"The Queens Head, Battle",queens head,"The Queens Head, The Green, Sedlescombe, TN33 0QA",10317
61,"The Bull Inn, Battle Town, Battle",bull inn,"The Bull Inn, 27  High Street, Battle, TN33 0EA",10320
62,"The White Hart, Battle",white hart,"The White Hart, The Green, Catsfield, TN33 9DJ",10321
63,"Ye Olde Kings Head, Battle Town, Battle",kings head,"Ye Olde Kings Head, 37  Mount Street, Battle, TN33 0EG",10322
64,"The New Inn, Sidley, Bexhill-On-Sea",new inn,"The New Inn, Ninfield Road, Bexhill-On-Sea, TN39 5AE",10333
65,"Rose & Crown, Sidley, Bexhill-On-Sea",rose & crown,"Rose & Crown, Turkey Road, Bexhill-On-Sea, TN39 5HH",10337
66,"The Star & Garter, Bedford",star & garter,"The Star & Garter, High Street, Silsoe, MK45 4DR",1034
67,"The Sun Inn, Bedford",sun inn,"The Sun Inn, Grange Road, Felmersham, MK43 7EU",1037
68,"The White Hart Hotel, Bedford",white hart hotel,"The White Hart Hotel, 125 Dunstable Street, Ampthill, MK45 2NG",1054
69,"Waggon & Horses, Bedford",waggon & horses,"Waggon & Horses, Bedford Road, Barton-Le-Clay, MK45 4LP",1062
70,"The Kings Arms, Crowborough",kings arms,"The Kings Arms, High Street, Rotherfield, TN6 3LJ",10639
71,"The White Hart, Bedford",white hart,"The White Hart, Ampthill Road, Maulden, MK45 2DH",1067
72,"The White Horse, Russell Park, Bedford",white horse,"The White Horse, 84  Newnham Avenue, Bedford, MK41 9PX",1070
73,"The White Horse, Bedford",white horse,"The White Horse, Mill Road, Husborne Crawley, MK43 0XE",1072
74,"The Rose & Crown, Etchingham",rose & crown,"The Rose & Crown, Ham Lane, Burwash, TN19 7ER",10821
75,"The Bear Inn, Etchingham",bear inn,"The Bear Inn, High Street, Burwash, TN19 7ET",10823
76,"The Wheel Inn, Etchingham",wheel inn,"The Wheel Inn, Heathfield Road, Burwash Weald, TN19 7LA",10824
77,"The Cock Inn, Biggleswade",cock inn,"The Cock Inn, 23  High Street, Broom, SG18 9NA",1083
78,"The George Hotel (JD Wetherspoon), Hailsham Town, Hailsham",george hotel,"The George Hotel (JD Wetherspoon), 3 George Street, Hailsham, BN27 1AD",10833
79,"Kings Head, Hailsham Town, Hailsham",kings head,"Kings Head, South Road, Hailsham, BN27 3NJ",10836
80,"The Lamb Inn, Hailsham",lamb inn,"The Lamb Inn, Wartling, Wartling, BN27 1RY",10837
81,"The White Horse Inn, Hailsham",white horse inn,"The White Horse Inn, Bodle Street, Bodle Street Green, BN27 4RE",10841
82,"The Anchor Inn, Hartfield Village, Hartfield",anchor inn,"The Anchor Inn, Church Street, Hartfield, TN7 4AG",10842
83,"The Dolphin Inn, Hastings Town, Hastings",dolphin inn,"The Dolphin Inn, 12  Rock A Nore Road, Hastings, TN34 3DW",10860
84,"The Duke of Wellington, Hastings Town, Hastings",duke of wellington,"The Duke of Wellington, 29  High Street, Hastings, TN34 3ER",10862
85,"The Hare & Hounds, Biggleswade",hare & hounds,"The Hare & Hounds, The Village, Old Warden, SG18 9HQ",1088
86,"The Plough Inn, Hastings Town, Hastings",plough inn,"The Plough Inn, 49  Priory Road, Hastings, TN34 3JJ",10892
87,"The Royal George, Hastings Town, Hastings",royal george,"The Royal George, 31-32 Station Road, Hastings, TN34 1NJ",10893
88,"Brass Monkey, Hastings Town, Hastings",brass monkey,"Brass Monkey, 18  Havelock Road, Hastings, TN34 1BP",10896
89,"The Royal Oak, Hastings",royal oak,"The Royal Oak, Pett Road, Pett, TN35 4HG",10898
90,"Royal Standard, Hastings Town, Hastings",royal standard,"Royal Standard, 19 East Street, Hastings, TN34 3AP",10899
91,"The Star Inn, Heathfield",star inn,"The Star Inn, Church Street, Old Heathfield, TN21 9AH",10916
92,"The Swan Inn, Heathfield",swan inn,"The Swan Inn, Woods Corner, Dallington, TN21 9LB",10917
93,"The Crown Hotel, Biggleswade Town, Biggleswade",crown hotel,"The Crown Hotel, 23  High Street, Biggleswade, SG18 0JE",1097
94,"The White Hart, Biggleswade Town, Biggleswade",white hart,"The White Hart, 24  Market Square, Biggleswade, SG18 8AR",1100
95,"The Prince Of Wales, Newhaven Town, Newhaven",prince of wales,"The Prince Of Wales, 49  South Road, Newhaven, BN9 9QL",11035
96,"The Ship Hotel, Newhaven Town, Newhaven",ship hotel,"The Ship Hotel, High Street, Newhaven, BN9 9PE",11037
97,"The Castle Inn, Pevensey",castle inn,"The Castle Inn, 72  Eastbourne Road, Pevensey Bay, BN24 6HS",11048
98,"The Red Lion, Pevensey",red lion,"The Red Lion, Lion Hill, Stone Cross, BN24 5EG",11052
99,"The Smugglers Inn, Pevensey Village, Pevensey",smugglers inn,"The Smugglers Inn, High Street, Pevensey, BN24 5LF",11054
100,"The George Inn, Polegate",george inn,"The George Inn, High Street, Alfriston, BN26 5SY",11059
101,"The Star Inn, Polegate",star inn,"The Star Inn, High Street, Alfriston, BN26 5TA",11060
102,"Ye Olde Smugglers Inn, Polegate",smugglers inn,"Ye Olde Smugglers Inn, Waterloo Square, Alfriston, BN26 5UE",11062
103,"The Cross Inn, Robertsbridge",cross inn,"The Cross Inn, Cripps Corner Road, Staplecross, TN32 5QA",11063
104,"The Bell Inn, Dunstable",bell inn,"The Bell Inn, Dunstable Road, Studham, LU6 2QG",1107
105,"The Kings Head, Seaford Town, Seaford",kings head,"The Kings Head, Pelham Road, Seaford, BN25 1EP",11107
106,"The White Lion Hotel, Seaford Town, Seaford",white lion hotel,"The White Lion Hotel, 74  Claremont Road, Seaford, BN25 2BJ",11116
107,"Bull Inn, St. Leonards-On-Sea",bull inn,"Bull Inn, 530  Bexhill Road, Bulverhythe, TN38 8AY",11120
108,"Harrow Inn, St. Leonards-On-Sea",harrow inn,"Harrow Inn, 828  The Ridge, Baldslow, TN37 7PX",11132
109,"Horse & Groom, St Leonards-On-Sea Town, St. Leonards-On-Sea",horse & groom,"Horse & Groom, 4  Mercatoria, St. Leonards-On-Sea, TN38 0EB",11134
110,"The White Lion, Chalk Hill, Dunstable",white lion,"The White Lion, Chalk Hill, Dunstable, LU6 1RS",1116
111,"The New Inn, Winchelsea Village, Winchelsea",new inn,"The New Inn, German Street, Winchelsea, TN36 4EN",11184
112,"The Queens Head, Winchelsea",queens head,"The Queens Head, Parsonage Lane, Icklesham, TN36 4BL",11186
