num,pubName,stripped,address,pubID
0,"The George Inn, Easton, Portland",george inn,"The George Inn, 133  Reforne, Portland, DT5 2AP",10001
1,"Half Moon Inn, Shaftesbury Town, Shaftesbury",half moon inn,"Half Moon Inn, Salisbury Road, Shaftesbury, SP7 8BS",10018
2,"The Kings Arms, Shaftesbury Town, Shaftesbury",kings arms,"The Kings Arms, Bleke Street, Shaftesbury, SP7 8JZ",10019
3,"Ship Inn, Shaftesbury Town, Shaftesbury",ship inn,"Ship Inn, Bleke Street, Shaftesbury, SP7 8JZ",10023
4,"The Prince of Wales, Bedford",prince of wales,"The Prince of Wales, 24  Bedford Street, Ampthill, MK45 2NB",1003
5,"The George Hotel, Sherborne Town, Sherborne",george hotel,"The George Hotel, Higher Cheap Street, Sherborne, DT9 3JD",10033
6,"The Kings Arms, Sherborne",kings arms,"The Kings Arms, Pound Road, Thornford, DT9 6QD",10036
7,"Plume Of Feathers, Sherborne Town, Sherborne",plume of feathers,"Plume Of Feathers, Half Moon Street, Sherborne, DT9 3LN",10038
8,"The Rose & Crown, Sherborne",rose & crown,"The Rose & Crown, Church Road, Bradford Abbas, DT9 6RF",10041
9,"The White Hart, Sherborne",white hart,"The White Hart, 1  High Street, Yetminster, DT9 6LF",10046
10,"The White Hart, Sherborne Town, Sherborne",white hart,"The White Hart, Cheap Street, Sherborne, DT9 3PX",10047
11,"Crown Hotel, Sturminster Newton",crown hotel,"Crown Hotel, Crown Road, Marnhull, DT10 1LN",10050
12,"The Swan Hotel, Sturminster Newton",swan hotel,"The Swan Hotel, High Street, Stalbridge, DT10 2LL",10054
13,"The Swan Inn, Sturminster Newton Town, Sturminster Newton",swan inn,"The Swan Inn, Market Place, Sturminster Newton, DT10 1AR",10055
14,"The Anchor Inn, Swanage Central, Swanage",anchor inn,"The Anchor Inn, High Street, Swanage, BH19 2NU",10056
15,"The Queens Head, Bedford",queens head,"The Queens Head, 20 Woburn Street, Ampthill, MK45 2HP",1006
16,"Crows Nest, Swanage North, Swanage",crows nest,"Crows Nest, 11  Ulwell Road, Swanage, BH19 1LE",10064
17,"The Red Lion, Bedford",red lion,"The Red Lion, High Street, Elstow, MK42 9XP",1007
18,"The Globe Inn, Swanage West, Swanage",globe inn,"The Globe Inn, 3  Bell Street, Swanage, BH19 2RY",10073
19,"The Kings Arms, Swanage",kings arms,"The Kings Arms, 27  High Street, Langton Matravers, BH19 3HA",10078
20,"The Red Lion, Swanage Central, Swanage",red lion,"The Red Lion, 63  High Street, Swanage, BH19 2LY",10085
21,"The Royal Oak, Swanage West, Swanage",royal oak,"The Royal Oak, 417  High Street, Swanage, BH19 2NR",10086
22,"White Horse Inn, Swanage Central, Swanage",white horse inn,"White Horse Inn, High Street, Swanage, BH19 2LP",10094
23,"The White Swan, Swanage Central, Swanage",white swan,"The White Swan, The Square, Swanage, BH19 2LJ",10095
24,"The Albion Inn, Verwood Town, Verwood",albion inn,"The Albion Inn, Henbury Station Road, Verwood, BH31 7LB",10096
25,"The Castle Inn, Wareham",castle inn,"The Castle Inn, 63  East Street, Corfe Castle, BH20 5EE",10105
26,"Duke Of Wellington, Wareham Town, Wareham",duke of wellington,"Duke Of Wellington, East Street, Wareham, BH20 4NN",10108
27,"The Fox Inn, Wareham",fox inn,"The Fox Inn, 8  West Street, Corfe Castle, BH20 5HD",10109
28,"The Greyhound Inn, Wareham",greyhound inn,"The Greyhound Inn, The Square, Corfe Castle, BH20 5EZ",10111
29,"The Horse & Groom, Wareham Town, Wareham",horse & groom,"The Horse & Groom, St. Johns Hill, Wareham, BH20 4LZ",10113
30,"The Kings Arms, Wareham",kings arms,"The Kings Arms, 3  Corfe Road, Stoborough, BH20 5AB",10114
31,"The Kings Arms, Wareham Town, Wareham",kings arms,"The Kings Arms, 41  North Street, Wareham, BH20 4AD",10115
32,"Royal Oak Hotel, Wareham",royal oak hotel,"Royal Oak Hotel, West Street, Bere Regis, BH20 7HQ",10122
33,"The Ship Inn, Wareham",ship inn,"The Ship Inn, Dorchester Road, Wool, BH20 6EQ",10125
34,"The Black Dog, Weymouth Central, Weymouth",black dog,"The Black Dog, 3 St Mary Street, Weymouth, DT4 8PB",10139
35,"The Rose & Crown, Bedford",rose & crown,"The Rose & Crown, 89  High Street, Ridgmont, MK43 0TY",1014
36,"The Boot, Chapelhay, Weymouth",boot,"The Boot, High West Street, Weymouth, DT4 8JH",10140
37,"The Bridge Inn, Weymouth",bridge inn,"The Bridge Inn, Bridge Inn Lane, Preston, DT3 6DB",10142
38,"Crown Hotel, Weymouth Central, Weymouth",crown hotel,"Crown Hotel, St. Thomas Street, Weymouth, DT4 8EQ",10152
39,"The Dolphin, Weymouth Central, Weymouth",dolphin,"The Dolphin, 67  Park Street, Weymouth, DT4 7DE",10156
40,"The Red Lion, Chapelhay, Weymouth",red lion,"The Red Lion, 33  Hope Street, Weymouth, DT4 8TU",10157
41,"The Royal George, Bedford",royal george,"The Royal George, 8  Silver Street, Stevington, MK43 7QP",1016
42,"The Royal Oak, Bedford",royal oak,"The Royal Oak, Woburn Road, Kempston, MK42 7QR",1017
43,"The George Inn, Weymouth Central, Weymouth",george inn,"The George Inn, Custom House Quay, Weymouth, DT4 8BE",10170
44,"The Globe Inn, Weymouth Central, Weymouth",globe inn,"The Globe Inn, 24  East Street, Weymouth, DT4 8BN",10172
45,"The Golden Lion, Weymouth Central, Weymouth",golden lion,"The Golden Lion, 19  St. Edmund Street, Weymouth, DT4 8AR",10173
46,"The Kings Arms, Weymouth",kings arms,"The Kings Arms, Front Street, Portesham, DT3 4ET",10188
47,"The Kings Arms, Chapelhay, Weymouth",kings arms,"The Kings Arms, 16  Trinity Road, Weymouth, DT4 8TJ",10189
48,"The Old Ship Inn, Weymouth",ship inn,"The Old Ship Inn, 7  The Ridgeway, Upwey, DT3 5QQ",10213
49,"The Park, Melcome Regis, Weymouth",park,"The Park, Grange Road, Weymouth, DT4 7PQ",10215
50,"The Royal Oak, Melcome Regis, Weymouth",royal oak,"The Royal Oak, 52  Dorchester Road, Weymouth, DT4 7JZ",10227
51,"The Royal Oak, Weymouth Central, Weymouth",royal oak,"The Royal Oak, 1  Custom House Quay, Weymouth, DT4 8BE",10228
52,"The Royal Standard, Weymouth",royal standard,"The Royal Standard, 700  Dorchester Road, Upwey, DT3 5LA",10229
53,"The Ship Inn, Weymouth Central, Weymouth",ship inn,"The Ship Inn, Custom House Quay, Weymouth, DT4 8BE",10233
54,"The Star, Weymouth Central, Weymouth",star,"The Star, 18  Gloucester Street, Weymouth, DT4 7AW",10238
55,"The Ship Inn, Bedford Central, Bedford",ship inn,"The Ship Inn, 102  Bromham Road, Bedford, MK40 2QH",1026
56,"Victoria Inn, Weymouth",victoria inn,"Victoria Inn, Knights In The Bottom, Chickerell, DT3 4EA",10260
57,"Barley Mow, Broomhill, Wimborne",barley mow,"Barley Mow, Long Lane, Wimborne, BH21 7AH",10274
58,"The Coach & Horses, Wimborne Town, Wimborne",coach & horses,"The Coach & Horses, Poole Road, Wimborne, BH21 1QB",10279
59,"Smiths Arms, Bedford",smiths arms,"Smiths Arms, 15  Margetts Road, Kempston, MK42 8DS",1028
60,"The Cricketers Arms, Wimborne Town, Wimborne",cricketers arms,"The Cricketers Arms, 12  Park Lane, Wimborne, BH21 1LD",10281
61,"Fox & Hounds, Wimborne",fox & hounds,"Fox & Hounds, Fox Lane, Stapehill, BH21 2EQ",10286
62,"The Green Man, Wimborne Town, Wimborne",green man,"The Green Man, 1  Victoria Road, Wimborne, BH21 1EN",10287
63,"Kings Head, Wimborne Town, Wimborne",kings head,"Kings Head, The Square, Wimborne, BH21 1JA",10290
64,"The Oddfellows Arms, Wimborne Town, Wimborne",oddfellows arms,"The Oddfellows Arms, 2  Church Street, Wimborne, BH21 1JH",10293
65,"Red Lion, Wimborne",red lion,"Red Lion, Church Street, Sturminster Marshall, BH21 4BU",10296
66,"The Rising Sun, Wimborne Town, Wimborne",rising sun,"The Rising Sun, 38  East Street, Wimborne, BH21 1DX",10297
67,"Vine Inn, Wimborne",vine inn,"Vine Inn, Vine Cottage, Pamphill, BH21 4EE",10301
68,"The White Hart, Wimborne Town, Wimborne",white hart,"The White Hart, 6  Corn Market, Wimborne, BH21 1JL",10302
69,"The Black Horse Inn, Battle",black horse inn,"The Black Horse Inn, Hastings Road, Telham, TN33 0SH",10308
70,"The Sportsman, Goldington, Bedford",sportsman,"The Sportsman, 58  The Boundary, Bedford, MK41 9HA",1031
71,"The Chequers, Battle Town, Battle",chequers,"The Chequers, Lower Lake, Battle, TN33 0AT",10311
72,"The Kings Arms, Battle",kings arms,"The Kings Arms, Bexhill Road, Ninfield, TN33 9JB",10314
73,"The Queens Head, Battle",queens head,"The Queens Head, The Green, Sedlescombe, TN33 0QA",10317
74,"The Bull Inn, Battle Town, Battle",bull inn,"The Bull Inn, 27  High Street, Battle, TN33 0EA",10320
75,"The White Hart, Battle",white hart,"The White Hart, The Green, Catsfield, TN33 9DJ",10321
76,"Ye Olde Kings Head, Battle Town, Battle",kings head,"Ye Olde Kings Head, 37  Mount Street, Battle, TN33 0EG",10322
77,"The New Inn, Sidley, Bexhill-On-Sea",new inn,"The New Inn, Ninfield Road, Bexhill-On-Sea, TN39 5AE",10333
78,"Rose & Crown, Sidley, Bexhill-On-Sea",rose & crown,"Rose & Crown, Turkey Road, Bexhill-On-Sea, TN39 5HH",10337
79,"The Sportsman, Bexhill-On-Sea Town, Bexhill-On-Sea",sportsman,"The Sportsman, 15  Sackville Road, Bexhill-On-Sea, TN39 3JD",10339
80,"The Star & Garter, Bedford",star & garter,"The Star & Garter, High Street, Silsoe, MK45 4DR",1034
81,"The Wheatsheaf, Little Common, Bexhill-On-Sea",wheatsheaf,"The Wheatsheaf, 2  Barnhorn Road, Bexhill-On-Sea, TN39 4QA",10345
82,"The Star, Bedford",star,"The Star, 42  High Street, Clapham, MK41 6EG",1035
83,"The Sun Inn, Bedford",sun inn,"The Sun Inn, Grange Road, Felmersham, MK43 7EU",1037
84,"The Swan, Bedford",swan,"The Swan, 1  Dunstable Road, Flitwick, MK45 1HP",1039
85,"The Anchor, Bedford",anchor,"The Anchor, High Street, Great Barford, MK44 3LF",1045
86,"The White Hart Hotel, Bedford",white hart hotel,"The White Hart Hotel, 125 Dunstable Street, Ampthill, MK45 2NG",1054
87,"The Three Tuns, Bedford",three tuns,"The Three Tuns, 57  Main Road, Biddenham, MK40 4BD",1058
88,"Waggon & Horses, Bedford",waggon & horses,"Waggon & Horses, Bedford Road, Barton-Le-Clay, MK45 4LP",1062
89,"The Coopers Arms, Crowborough",coopers arms,"The Coopers Arms, Coopers Lane, Crowborough, TN6 1SN",10634
90,"The Kings Arms, Crowborough",kings arms,"The Kings Arms, High Street, Rotherfield, TN6 3LJ",10639
91,"Bricklayers Arms, Crowborough Town, Crowborough",bricklayers arms,"Bricklayers Arms, Whitehill Road, Crowborough, TN6 1JT",10643
92,"The White Hart, Bedford",white hart,"The White Hart, Ampthill Road, Maulden, MK45 2DH",1067
93,"The Mill, Frome",mill,"The Mill, Rode Hill, Rode, BA11 6AG",107
94,"The White Horse, Russell Park, Bedford",white horse,"The White Horse, 84  Newnham Avenue, Bedford, MK41 9PX",1070
95,"The White Horse, Bedford",white horse,"The White Horse, Mill Road, Husborne Crawley, MK43 0XE",1072
96,"The Woolpack, Bedford",woolpack,"The Woolpack, Bedford Road, Wilstead, MK45 3HW",1076
97,"The Plough, Bedford",plough,"The Plough, Kimbolton Road, Bolnhurst, MK44 2EX",1077
98,"The Plough, Biggleswade",plough,"The Plough, Church Street, Langford, SG18 9QA",1079
99,"The Rose & Crown, Etchingham",rose & crown,"The Rose & Crown, Ham Lane, Burwash, TN19 7ER",10821
100,"The Bear Inn, Etchingham",bear inn,"The Bear Inn, High Street, Burwash, TN19 7ET",10823
101,"The Wheel Inn, Etchingham",wheel inn,"The Wheel Inn, Heathfield Road, Burwash Weald, TN19 7LA",10824
102,"The Brewers Arms, Hailsham",brewers arms,"The Brewers Arms, Gardner Street, Herstmonceux, BN27 4LB",10829
103,"The Cock Inn, Biggleswade",cock inn,"The Cock Inn, 23  High Street, Broom, SG18 9NA",1083
104,"The George Hotel (JD Wetherspoon), Hailsham Town, Hailsham",george hotel,"The George Hotel (JD Wetherspoon), 3 George Street, Hailsham, BN27 1AD",10833
105,"Kings Head, Hailsham Town, Hailsham",kings head,"Kings Head, South Road, Hailsham, BN27 3NJ",10836
106,"The Lamb Inn, Hailsham",lamb inn,"The Lamb Inn, Wartling, Wartling, BN27 1RY",10837
107,"The Railway Tavern, Hailsham Town, Hailsham",railway tavern,"The Railway Tavern, 17  Station Road, Hailsham, BN27 2BH",10839
108,"The Crown, Biggleswade",crown,"The Crown, 2  Ickwell Road, Northill, SG18 9AA",1084
109,"The White Horse Inn, Hailsham",white horse inn,"The White Horse Inn, Bodle Street, Bodle Street Green, BN27 4RE",10841
110,"The Anchor Inn, Hartfield Village, Hartfield",anchor inn,"The Anchor Inn, Church Street, Hartfield, TN7 4AG",10842
111,"The Crown, Hastings Town, Hastings",crown,"The Crown, 64-66 All Saints Street, Hastings, TN34 3BN",10858
112,"The Gardeners Arms, Biggleswade Town, Biggleswade",gardeners arms,"The Gardeners Arms, 37  Potton Road, Biggleswade, SG18 0DX",1086
113,"The Dolphin Inn, Hastings Town, Hastings",dolphin inn,"The Dolphin Inn, 12  Rock A Nore Road, Hastings, TN34 3DW",10860
